channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.2,2460440,3.03124,0.616282672,0.616282672,32.5,12.5,1
6899.1,2460440,4.235,0.619037781,0.619037781,30.01,20,1
6899.3,2460440,2.87625,0.620467875,0.620467875,31.24,18.75,1
6899.3,2460440,0.61999,0.624577959,0.624577959,42.5,30.01,1
6899.3,2460440,4.04,0.627483883,0.627483883,42.49,18.74,1
6899.4,2460440,6.74626,0.629688851,0.629688852,30.01,16.25,1
6899.4,2460440,1.10125,0.629710064,0.629710064,35,17.5,1
6899.1,2460440,1.43875,0.63134013,0.63134013,23.75,23.75,1
6899.2,2460440,4.33624,0.631557703,0.631557703,17.49,32.5,1
6899.1,2460440,0.31251,0.633749262,0.633749262,27.51,20,1
6899.2,2460440,6.565,0.635238316,0.635238316,17.51,17.5,1
6899.3,2460440,0.475,0.635883699,0.635883699,36.25,8.75,1
6899.2,2460440,2.5675,0.636591178,0.636591178,12.5,17.51,1
6899.2,2460440,2.49874,0.637580256,0.637580256,18.74,33.75,1
6899.1,2460440,1.89,0.638657989,0.638657989,22.5,17.5,1
6899.4,2460440,4.94249,0.641407607,0.641407607,23.75,28.75,1
6899.2,2460440,7.42375,0.642548762,0.642548763,37.51,3.75,1
6899.4,2460440,6.40749,0.642939788,0.642939788,22.5,8.76,1
6899.4,2460440,7.89625,0.643006741,0.643006741,32.5,18.75,1
6899.2,2460440,0.82001,0.643287051,0.643287051,25.01,26.24,1
6899.3,2460440,0.3175,0.6433897,0.6433897,38.74,32.5,1
6899.2,2460440,1.485,0.643972004,0.643972004,30,27.5,1
6899.1,2460440,0.83999,0.644054011,0.644054011,27.49,21.25,1
6899.1,2460440,1.08375,0.645923067,0.645923067,30,25.01,1
6899.2,2460440,0.91874,0.647475255,0.647475255,27.49,8.75,1
6899.2,2460440,3.58625,0.650946859,0.650946859,22.5,16.25,1
6899.1,2460440,0.91499,0.651379021,0.651379021,23.75,32.51,1
6899.2,2460440,4.50874,0.651824172,0.651824172,25,17.51,1
