channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.2,2459722,3.90625,0.454431733,0.454431733,30,18.74,1
6899.3,2459722,1.28876,0.45471792,0.45471792,38.75,28.74,1
6899.2,2459722,10.50125,0.454822663,0.454822663,38.75,25,1
6899.4,2459722,2.09624,0.45535197,0.45535197,27.5,26.24,1
6899.4,2459722,1.005,0.455691952,0.455691952,32.5,20,1
6899.2,2459722,2.4725,0.456381114,0.456381114,32.5,30,1
6899.4,2459722,7.82375,0.458419074,0.458419074,44.99,30,1
6899.4,2459722,2.99751,0.458529214,0.458529214,27.5,17.49,1
6899.4,2459722,0.715,0.458597052,0.458597052,32.49,16.25,1
6899.2,2459722,3.22,0.458893333,0.458893333,45,21.25,1
6899.2,2459722,12.04125,0.460476454,0.460476454,23.76,22.5,1
6899.4,2459722,1.14,0.460642354,0.460642354,25,20,1
6899.4,2459722,0.9,0.461725392,0.461725392,35,16.24,1
6899.1,2459722,5.7325,0.461878132,0.461878132,35,28.75,1
6899.2,2459722,2.88126,0.462943924,0.462943924,22.5,30,1
6899.2,2459722,6.25125,0.463352766,0.463352766,35,23.76,1
6899.1,2459722,2.63498,0.463751764,0.463751764,34.99,30,1
6899.1,2459722,3.2,0.465045287,0.465045287,18.75,14.99,1
6899.2,2459722,4.96875,0.465112264,0.465112264,30,25,1
6899.2,2459722,4.45625,0.465407196,0.465407196,36.25,23.74,1
6899.4,2459722,7.60375,0.465580842,0.465580842,33.75,25,1
6899.4,2459722,5.4725,0.465729183,0.465729183,41.26,29.99,1
6899.1,2459722,3.8725,0.465873343,0.465873343,30,25,1
6899.4,2459722,3.10875,0.466060527,0.466060527,28.75,21.25,1
6899.2,2459722,1.00375,0.467399235,0.467399235,35.01,16.25,1
6899.4,2459722,1.66,0.468580754,0.468580754,41.25,30,1
6899.1,2459722,1.86,0.46892793,0.46892793,35.01,24.99,1
6899.2,2459722,1.32124,0.469466045,0.469466045,23.75,27.5,1
6899.3,2459722,1.44625,0.472022827,0.472022827,37.51,33.75,1
6899.1,2459722,3.90249,0.472882883,0.472882883,20,21.25,1
6899.3,2459722,4.9025,0.476463323,0.476463323,36.26,21.25,1
6899.4,2459722,1.13376,0.476984312,0.476984312,36.25,16.24,1
6899.2,2459722,1.02875,0.479134411,0.479134411,40,18.75,1
6899.2,2459722,2.46877,0.482022552,0.482022552,38.75,37.49,1
6899.1,2459722,3.45499,0.482104706,0.482104706,25,18.75,1
6899.1,2459722,7.5575,0.483950379,0.483950379,17.5,8.75,1
6899.1,2459722,10.13125,0.484072664,0.484072665,18.74,12.49,1
6899.1,2459722,0.66874,0.484534758,0.484534758,26.24,12.5,1
6899.4,2459722,0.4075,0.485203072,0.485203072,40,18.75,1
6899.4,2459722,0.64375,0.486249274,0.486249274,30.01,18.75,1
6899.1,2459722,3.39125,0.486388279,0.486388279,12.5,22.5,1
6899.1,2459722,19.97625,0.486871455,0.486871455,47.5,22.49,1
6899.1,2459722,1.93625,0.487293112,0.487293112,33.75,13.75,1
6899.3,2459722,2.67875,0.487841924,0.487841924,37.5,17.5,1
6899.1,2459722,1.54999,0.488789018,0.488789018,30,13.76,1
6899.1,2459722,15.16999,0.489116197,0.489116197,22.5,13.75,1
6899.2,2459722,14.8625,0.489209652,0.489209652,26.24,22.5,1
6899.2,2459722,16.82124,0.489543604,0.489543604,15,22.51,1
6899.1,2459722,4.75625,0.489547472,0.489547472,15.01,17.5,1
6899.4,2459722,0.54374,0.489617643,0.489617643,26.25,12.5,1
6899.1,2459722,0.9675,0.490441945,0.490441945,38.75,22.5,1
6899.4,2459722,4.6575,0.491397086,0.491397086,31.25,23.75,1
6899.1,2459722,7.4525,0.492379633,0.492379633,30,33.76,1
6899.1,2459722,1.26625,0.492505012,0.492505012,27.5,10,1
6899.1,2459722,2.8025,0.492978341,0.492978341,33.76,31.25,1
6899.2,2459722,1.5975,0.494875953,0.494875953,31.25,16.25,1
6899.1,2459722,3.1925,0.495065666,0.495065666,22.51,21.25,1
6899.2,2459722,0.75249,0.495921692,0.495921692,36.24,8.75,1
6899.1,2459722,3.605,0.499795441,0.499795441,26.25,27.5,1
6899.4,2459722,7.61874,0.499963509,0.499963509,30,29.99,1
6899.1,2459722,2.86625,0.500857056,0.500857056,28.75,22.49,1
6899.2,2459722,15.1475,0.501358686,0.501358686,16.25,22.5,1
