#,channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899,4,2458256,0.69125,0.23084823,0.23084823,30,41.25,1
6899,4,2458256,5.0375,0.232435965,0.232435965,46.25,20,1
6899,1,2458256,5.0375,0.232435965,0.232435965,25,11.25,1
6899,3,2458256,5.03376,0.232435965,0.232435965,33.75,28.75,1
6899,4,2458256,3.32125,0.233903768,0.233903768,47.5,28.75,1
6899,3,2458256,3.32249,0.233903768,0.233903768,36.25,26.25,1
6899,1,2458256,2.46376,0.234077615,0.234077615,31.25,8.75,1
6899,2,2458256,2.46375,0.234077615,0.234077615,41.25,31.25,1
6899,4,2458256,0.31125,0.23452302,0.23452302,31.25,18.75,1
6899,3,2458256,0.30875,0.23452302,0.23452302,27.5,26.25,1
6899,3,2458256,0.62375,0.235781309,0.235781309,35,13.75,1
6899,2,2458256,1.07,0.236328361,0.236328361,26.25,20,1
6899,2,2458256,0.39874,0.240795822,0.240795822,35,31.25,1
6899,3,2458256,5.09876,0.241190578,0.241190578,37.5,15,1
6899,4,2458256,3.58875,0.241917493,0.241917493,36.25,18.75,1
6899,1,2458256,3.53626,0.243389839,0.243389839,33.75,41.25,1
6899,2,2458256,3.54001,0.243389839,0.243389839,42.5,27.5,1
6899,2,2458256,5.50125,0.243532039,0.243532039,41.25,23.75,1
6899,1,2458256,3.18749,0.24531022,0.24531022,27.5,15,1
6899,3,2458256,3.19,0.24531022,0.24531022,42.5,21.25,1
6899,2,2458256,3.18625,0.24531022,0.24531022,35,27.5,1
6899,4,2458256,4.47,0.246015858,0.246015858,27.5,26.25,1
6899,1,2458256,7.29375,0.246541719,0.246541719,20,12.5,1
6899,2,2458256,7.29001,0.246541719,0.246541719,10,18.75,1
6899,1,2458256,5.46501,0.247247972,0.247247972,27.5,20,1
6899,4,2458256,5.46624,0.247247972,0.247247972,48.75,21.25,1
6899,3,2458256,5.4625,0.247247972,0.247247972,40,35,1
6899,1,2458256,9.06,0.248204457,0.248204457,12.5,15,1
6899,4,2458256,9.06124,0.248204457,0.248204457,21.25,15,1
6899,3,2458256,9.05999,0.248204457,0.248204457,20,20,1
6899,3,2458256,2.265,0.250465633,0.250465633,31.25,21.25,1
6899,2,2458256,0.46624,0.250669475,0.250669475,33.75,7.5,1
6899,3,2458256,7.885,0.251602786,0.251602786,42.5,11.25,1
6899,3,2458256,2.80625,0.251740634,0.251740634,36.24,28.75,1
6899,2,2458256,2.50751,0.251842017,0.251842017,45,38.75,1
6899,4,2458256,0.79875,0.252445551,0.252445551,50,30,1
6899,3,2458256,0.79875,0.252445551,0.252445551,43.75,27.5,1
6899,2,2458256,0.85125,0.253462931,0.253462931,36.25,32.51,1
6899,3,2458256,0.8525,0.253462931,0.253462931,30,20,1
6899,3,2458256,5.61,0.25384354,0.25384354,38.75,35,1
6899,4,2458256,0.52625,0.253929999,0.253929999,33.75,25,1
6899,3,2458256,0.52624,0.253929999,0.253929999,31.25,31.25,1
6899,4,2458256,3.93249,0.258814548,0.258814548,45,38.75,1
6899,3,2458256,3.93624,0.258814548,0.258814548,40,32.5,1
6899,3,2458256,0.3425,0.259648674,0.259648674,50,36.25,1
6899,2,2458256,3.59876,0.260154058,0.260154058,33.75,11.25,1
6899,4,2458256,5.50375,0.26150176,0.26150176,38.75,20,1
6899,3,2458256,5.50125,0.26150176,0.26150176,40,28.75,1
6899,1,2458256,0.33625,0.261747157,0.261747157,23.76,20,1
6899,3,2458256,0.33626,0.261747157,0.261747157,36.25,28.74,1
6899,2,2458256,0.335,0.261747157,0.261747157,27.5,27.5,1
6899,1,2458256,1.83,0.262765113,0.262765113,26.25,10,1
6899,2,2458256,1.825,0.262765113,0.262765113,35,28.75,1
6899,4,2458256,0.3225,0.263727313,0.263727313,28.75,35.01,1
6899,2,2458256,0.38625,0.265396001,0.265396001,38.75,31.25,1
6899,3,2458256,0.39125,0.265396001,0.265396001,35,11.25,1
6899,4,2458256,1.52251,0.265998544,0.265998545,46.25,26.25,1
6899,3,2458256,1.52,0.265998544,0.265998545,38.75,33.76,1
6899,1,2458256,0.37124,0.266161514,0.266161514,26.24,25,1
6899,3,2458256,0.37625,0.266161514,0.266161514,43.75,13.75,1
6899,1,2458256,1.2,0.268680761,0.268680761,30,23.75,1
6899,2,2458256,1.2,0.268680761,0.268680761,42.5,38.75,1
6899,1,2458256,5.06375,0.269374936,0.269374937,25,13.75,1
6899,2,2458256,5.06125,0.269374936,0.269374937,42.5,20,1
6899,4,2458256,0.76874,0.269548,0.269548,43.75,31.25,1
6899,3,2458256,0.77,0.269548,0.269548,32.5,27.5,1
6899,4,2458256,1.39125,0.269917095,0.269917095,37.5,12.5,1
6899,1,2458256,0.555,0.270438525,0.270438525,26.25,17.51,1
6899,3,2458256,0.55876,0.270438525,0.270438525,36.25,6.25,1
6899,4,2458256,0.765,0.270767146,0.270767146,27.5,21.25,1
6899,1,2458256,1.89,0.271505331,0.271505331,25,12.5,1
6899,2,2458256,1.88875,0.271505331,0.271505331,41.25,26.25,1
6899,3,2458256,0.76625,0.272106039,0.272106039,46.25,13.75,1
6899,3,2458256,3.07874,0.273179104,0.273179104,31.25,21.25,1
6899,3,2458256,2.7975,0.27383519,0.27383519,43.75,8.75,1
6899,2,2458256,2.35875,0.275931624,0.275931624,50,8.75,1
6899,4,2458256,1.19625,0.276823241,0.276823241,36.25,26.25,1
6899,4,2458256,7.83751,0.276847169,0.276847169,22.5,25,1
6899,1,2458256,3.76624,0.277676774,0.277676774,35,17.5,1
6899,2,2458256,3.77125,0.277676774,0.277676774,41.25,7.5,1
6899,3,2458256,3.29625,0.278193754,0.278193754,28.75,18.75,1
6899,4,2458256,3.29625,0.278193754,0.278193754,23.75,21.25,1
6899,2,2458256,3.29375,0.278193754,0.278193754,23.75,25,1
6899,3,2458256,7.84625,0.27837552,0.27837552,48.75,10,1
6899,2,2458256,1.1425,0.280392753,0.280392753,36.25,31.24,1
6899,4,2458256,2.43624,0.281782859,0.281782859,26.25,26.25,1
6899,3,2458256,2.43625,0.281782859,0.281782859,27.5,23.76,1
6899,1,2458256,2.43375,0.281782859,0.281782859,13.75,12.5,1
6899,2,2458256,2.4325,0.281782859,0.281782859,22.5,26.25,1
6899,3,2458256,2.8225,0.281890272,0.281890272,38.75,21.25,1
6899,4,2458256,2.81875,0.281890272,0.281890272,27.5,15,1
6899,4,2458256,4.28875,0.282715849,0.282715849,70,30,1
6899,3,2458256,4.28876,0.282715849,0.282715849,43.75,41.25,1
6899,4,2458256,4.96124,0.284650981,0.284650982,35,27.5,1
6899,1,2458256,4.9575,0.284650981,0.284650982,22.5,12.5,1
6899,3,2458256,4.96124,0.284650981,0.284650982,27.5,12.5,1
6899,2,2458256,4.9575,0.284650981,0.284650982,25,21.25,1
6899,1,2458256,4.7325,0.284878276,0.284878276,11.26,28.75,1
6899,4,2458256,4.7375,0.284878276,0.284878276,27.5,27.5,1
6899,3,2458256,4.735,0.284878276,0.284878276,18.75,31.25,1
6899,2,2458256,4.73125,0.284878276,0.284878276,16.25,35.01,1
6899,3,2458256,1.0425,0.285054879,0.285054879,46.25,12.5,1
6899,4,2458256,2.06,0.28555848,0.28555848,26.25,22.5,1
6899,2,2458256,2.1925,0.285718336,0.285718336,10,30,1
6899,4,2458256,3.58375,0.286921057,0.286921057,21.25,22.49,1
6899,2,2458256,3.5775,0.286921057,0.286921057,15,27.5,1
6899,1,2458256,2.9475,0.287001368,0.287001368,31.25,13.75,1
6899,2,2458256,2.94375,0.287001368,0.287001368,42.5,20,1
6899,4,2458256,0.55,0.287749217,0.287749217,37.5,26.25,1
6899,3,2458256,0.54875,0.287749217,0.287749217,32.5,35,1
6899,2,2458256,1.25125,0.289659066,0.289659066,37.5,27.51,1
6899,4,2458256,1.865,0.290484029,0.290484029,41.25,13.75,1
6899,3,2458256,1.86125,0.290484029,0.290484029,35,22.5,1
6899,4,2458256,0.48,0.29165164,0.29165164,21.25,25,1
6899,4,2458256,0.76499,0.292807239,0.292807239,36.25,15,1
6899,4,2458256,5.83,0.293885006,0.293885006,30,27.5,1
6899,3,2458256,5.82874,0.293885006,0.293885006,27.5,32.5,1
6899,3,2458256,0.98499,0.295240159,0.295240159,30,28.75,1
6899,3,2458256,2.34376,0.295563176,0.295563176,53.76,37.5,1
6899,4,2458256,5.70249,0.296704549,0.296704549,21.25,20,1
6899,4,2458256,7.41874,0.297722688,0.297722688,17.5,21.25,1
6899,2,2458256,1.24875,0.299632924,0.299632924,38.75,18.75,1
6899,4,2458256,1.24625,0.299632924,0.299632924,42.5,18.75,1
6899,2,2458256,1.20875,0.299632924,0.299632924,77.5,18.75,1
6899,4,2458256,1.77874,0.300240127,0.300240127,30,28.75,1
6899,1,2458256,5.8825,0.300475668,0.300475668,15,13.75,1
6899,2,2458256,5.88126,0.300475668,0.300475668,20,25,1
6899,3,2458256,5.87625,0.300475668,0.300475668,10,23.75,1
6899,3,2458256,1.89125,0.30217883,0.30217883,42.5,21.25,1
6899,4,2458256,1.89125,0.30217883,0.30217883,38.75,11.25,1
6899,4,2458256,0.83625,0.30268327,0.30268327,2.5,28.75,1
6899,3,2458256,0.83249,0.30268327,0.30268327,10,32.51,1
6899,4,2458256,0.30001,0.303937169,0.303937169,35,20,1
6899,3,2458256,0.2975,0.303937169,0.303937169,28.74,22.5,1
6899,2,2458256,0.2975,0.303937169,0.303937169,23.75,15,1
6899,1,2458256,2.84125,0.309198618,0.309198618,28.75,16.25,1
6899,2,2458256,2.8425,0.309198618,0.309198618,46.25,18.75,1
6899,4,2458256,2.49,0.309872938,0.309872938,35,21.25,1
6899,3,2458256,2.4875,0.309872938,0.309872938,35,27.5,1
6899,1,2458256,1.01624,0.310341731,0.310341731,30,25,1
6899,2,2458256,1.015,0.310341731,0.310341731,41.25,35,1
6899,3,2458256,1.0175,0.310341731,0.310341731,38.75,22.5,1
6899,4,2458256,4.72375,0.310874595,0.310874595,27.5,23.76,1
6899,3,2458256,4.72375,0.310874595,0.310874595,31.25,18.75,1
6899,2,2458256,0.40125,0.313818361,0.313818361,36.25,27.5,1
6899,3,2458256,0.4,0.313818361,0.313818361,40,30,1
6899,4,2458256,7.85875,0.315146257,0.315146257,35.01,26.25,1
6899,3,2458256,7.85374,0.315146257,0.315146257,35,50,1
6899,3,2458256,7.505,0.315400573,0.315400573,27.5,25,1
6899,4,2458256,7.5,0.315400573,0.315400573,18.75,30,1
6899,3,2458256,1.505,0.316453585,0.316453585,25,33.75,1
6899,4,2458256,1.50249,0.316453585,0.316453585,18.75,26.25,1
6899,3,2458256,1.72751,0.317227447,0.317227447,35,18.75,1
6899,3,2458256,1.68876,0.317227447,0.317227447,26.25,18.75,1
6899,3,2458256,0.9425,0.317293404,0.317293404,43.75,18.75,1
6899,4,2458256,7.975,0.318618601,0.318618601,18.75,25,1
6899,1,2458256,9.1775,0.319428936,0.319428936,27.5,11.25,1
6899,4,2458256,9.1725,0.319428936,0.319428936,20,31.25,1
6899,1,2458256,3.58125,0.319720165,0.319720165,33.75,21.25,1
6899,2,2458256,3.58125,0.319720165,0.319720165,51.25,22.5,1
6899,3,2458256,4.835,0.320455615,0.320455615,35,22.5,1
6899,2,2458256,4.8325,0.320455615,0.320455615,25,23.75,1
6899,3,2458256,1.21624,0.320922562,0.320922562,31.25,30,1
